family_id	mode_id	marker_id	marker_label	is_core	alias	support_dois
sulfur	sulfate_reduction	aprB	Adenylylsulfate reductase beta	1	aprb	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	dsr	Dissimilatory sulfite reductase	1	dissimilatory sulfite reductase	
sulfur	sulfate_reduction	dsrA	Dissimilatory sulfite reductase alpha	1	dsra	10.1038/ismej.2014.208;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	dsrB	Dissimilatory sulfite reductase beta	1	dsrb	10.1038/ismej.2014.208;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	sat	Sulfate adenylyltransferase	1	sat	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfate_reduction	sat	Sulfate adenylyltransferase	1	sulfate adenylyltransferase	10.1128/AEM.01272-07;10.1111/j.1574-6941.2010.00919.x
sulfur	sulfur_oxidation	soeA	Sulfite dehydrogenase alpha	0	sulfite dehydrogenase	10.1111/j.1574-6941.2010.00919.x
sulfur	sulfur_oxidation	soeB	Sulfite dehydrogenase beta	0	sulfite oxidase	10.1111/j.1574-6941.2010.00919.x
sulfur	sulfur_oxidation	sqr	Sulfide:quinone oxidoreductase	1	sqr	10.1002/lno.11759;10.1038/s41467-018-04041-x
sulfur	sulfur_oxidation	sqr	Sulfide:quinone oxidoreductase	1	sulfide:quinone oxidoreductase	10.1002/lno.11759;10.1038/s41467-018-04041-x
sulfur	reverse_dsr_sulfur_oxidation	aprA	Adenylylsulfate reductase alpha (oxidative context)	1	apra	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	aprB	Adenylylsulfate reductase beta (oxidative context)	1	aprb	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	aprM	APS reductase membrane anchor	0	aprm	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	aprM	APS reductase membrane anchor	0	aps reductase membrane anchor	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrA	Reverse/oxidative dissimilatory sulfite reductase alpha	1	dsra	10.1111/j.1462-2920.2008.01760.x;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrB	Reverse/oxidative dissimilatory sulfite reductase beta	1	dsrb	10.1111/j.1462-2920.2008.01760.x;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrC	Dissimilatory sulfur carrier protein DsrC	1	dsrc	10.1111/j.1462-2920.2008.01760.x;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrC	Dissimilatory sulfur carrier protein DsrC	1	sulfur carrier dsrc	10.1111/j.1462-2920.2008.01760.x;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrJ	DsrMKJOP complex subunit J	0	dsrj	10.1007/s00203-006-0156-y;10.1021/bi1007673;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrK	DsrMKJOP complex subunit K	0	dsrk	10.1007/s00203-006-0156-y;10.1021/bi1007673;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrL	DsrL NAD(P)H:acceptor oxidoreductase	1	dsrl	10.3389/fmicb.2020.578209;10.1111/j.1574-6968.2006.00343.x;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrL	DsrL NAD(P)H:acceptor oxidoreductase	1	oxidative dsrl	10.3389/fmicb.2020.578209;10.1111/j.1574-6968.2006.00343.x;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrM	DsrMKJOP complex subunit M	0	dsrm	10.1007/s00203-006-0156-y;10.1021/bi1007673;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrO	DsrMKJOP complex subunit O	0	dsro	10.1007/s00203-006-0156-y;10.1021/bi1007673;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	dsrP	DsrMKJOP complex subunit P	0	dsrp	10.1007/s00203-006-0156-y;10.1021/bi1007673;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	fccA	Flavocytochrome c sulfide dehydrogenase subunit A	0	fcca	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	fccA	Flavocytochrome c sulfide dehydrogenase subunit A	0	flavocytochrome c sulfide dehydrogenase	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	fccB	Flavocytochrome c sulfide dehydrogenase subunit B	0	fccab	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	fccB	Flavocytochrome c sulfide dehydrogenase subunit B	0	fccb	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
sulfur	reverse_dsr_sulfur_oxidation	sat	Sulfate adenylyltransferase (direction-dependent)	0	sat	10.3389/fmicb.2011.00134;10.1111/1755-0998.13642
